Term,Definition,Short Phrase,Example
question,answer,Answer,Example: question in answer.
Agribusiness,"Commercial agriculture characterized by integration of different steps in the food-processing industry, usually through ownership by large corporations.",Commercial Agriculture,Example: Agribusiness in commercial agriculture characterized.
Aquaculture (aquafarming),the rearing of aquatic animals or the cultivation of aquatic plants for food.,The Rearing,Example: Aquaculture (aquafarming) in rearing aquatic animals.
Bid-rent theory,geographical economic theory that refers to how the price and demand on real estate changes as the distance towards the Central Business District (CBD) increases.,Geographical Economic,Example: Bid-rent theory in geographical economic theory.
Biotechnology,"A form of technology that uses living organisms, usually genes, to modify products, to make or modify plants and animals, or to develop other microorganisms for specific purposes.",A Form,Example: Biotechnology in form technology living.
Clustered rural settlement,A rural settlement in which the houses and farm buildings of each family are situated close to each other and fields surround the settlement.,A Rural,Example: Clustered rural settlement in rural settlement houses.
Commercial agriculture,Agriculture undertaken primarily to generate products for sale off the farm.,Agriculture Undertaken,Example: Commercial agriculture in agriculture undertaken primarily.
Commodity chain,series of links connecting the many places of production and distribution and resulting in a commodity that is then exchanged on the world market,Series Of,Example: Commodity chain in series links connecting.
Community-supported agriculture (CSA),individuals who pledge support to a farm operation so that the growers and consumers provide mutual support,Individuals Who,Example: Community-supported agriculture (CSA) in individuals who pledge.
Desertification (semiarid land degradation),"degradation of land, especially in semiarid areas, primarily because of human actions such as excessive crop planting, animal grazing, and tree cutting",Degradation Of,Example: Desertification (semiarid land degradation) in degradation land especially.
Dispersed rural settlement,A rural settlement pattern characterized by isolated farms rather than clustered villages.,A Rural,Example: Dispersed rural settlement in rural settlement pattern.
Double cropping,growing more than one crop a year on the same land,Growing More,Example: Double cropping in growing more than.
Enclosure system,taking and fencing off land formerly shared by peasants to create larger fields,Taking And,Example: Enclosure system in taking fencing off.
Extensive agriculture,An agricultural system characterized by low inputs of labor per unit land area.,An Agricultural,Example: Extensive agriculture in agricultural system characterized.
Fair trade,"Alternative to international trade that emphasizes small businesses and worker owned and democratically run cooperatives and requires employers to pay workers fair wages, permit union organizing, and comply with minimum environmental and safety standards.",Alternative To,Example: Fair trade in alternative international trade.
Food security,"Physical, social, and economic access at all times to safe and nutritious food sufficient to meet dietary needs and food preferences for an active and healthy life.",Physical Social,Example: Food security in physical social economic.
Genetically modified organism (GMO),an organism produced by copying genes from a species with a desirable trait and inserting them into another species,An Organism,Example: Genetically modified organism (GMO) in organism produced copying.
Green Revolution,"Rapid diffusion of new agricultural technology, especially new high-yield seeds and fertilizers.",Rapid Diffusion,Example: Green Revolution in rapid diffusion new.
Horticulture,"The growing of fruits, vegetables, and flowers.",The Growing,Example: Horticulture in growing fruits vegetables.
High-yield seeds,"seeds that have been engineered to be stronger and more productive. They will produce more crops peer seed, need less water, and can survive in warmer climates",Seeds That,Example: High-yield seeds in seeds been engineered.
Industrial agriculture,intensive farming practices involving mechanization and mass production,Intensive Farming,Example: Industrial agriculture in intensive farming practices.
Intensive agriculture,any agricultural system involving the application of large amounts of capital and/or labor per unit of cultivated land; may be part of either subsistence or commercial economy,Any Agricultural,Example: Intensive agriculture in any agricultural system.
Job specialization,The process by which a division of labor occurs as different workers specialize in different tasks over time,The Process,Example: Job specialization in process division labor.
Labor intensive agriculture,Type of agriculture that requires large levels of manual labor to be successful.,Type Of,Example: Labor intensive agriculture in type agriculture requires.
Linear rural settlement,"comprise buildings clustered along a road, river, or dike to facilitate communications",Comprise Buildings,Example: Linear rural settlement in comprise buildings clustered.
Long-lot survey system,"divided land into narrow parcels stretching back from rivers, roads, or canals",Divided Land,Example: Long-lot survey system in divided land narrow.
Metes and bounds,A method of land description which involves identifying distances and directions and makes use of both the physical boundaries and measurements of the land.,A Method,Example: Metes and bounds in method land description.
Monoculture,"farming strategy in which large fields are planted with a single crop, year after year",Farming Strategy,Example: Monoculture in farming strategy large.
No tillage,A farming practice that leaves all of the soil undisturbed and the entire residue of the previous year's harvest left untouched on the fields.,A Farming,Example: No tillage in farming practice leaves.
Nucleated settlement pattern,"settlement clustered around a central point, such as a village green or church",Settlement Clustered,Example: Nucleated settlement pattern in settlement clustered around.
Organic agriculture,"Approach to farming and ranching that avoids the use of herbicides, pesticides, growth hormones, and other similar synthetic inputs.",Approach To,Example: Organic agriculture in approach farming ranching.
Pastoral nomadism,A traditional subsistence agricultural system in which practitioners depend on the seasonal movements of livestock within marginal natural environments.,A Traditional,Example: Pastoral nomadism in traditional subsistence agricultural.
Post-industrial societies,Societies where technology supports a Service-and-Information based economy,Societies Where,Example: Post-industrial societies in societies where technology.
Prime agricultural land,the most productive farmland,The Most,Example: Prime agricultural land in most productive farmland.
Ridge tillage,"System of planting crops on ridge tops, in order to reduce farm production costs and promote greater soil conservation.",System Of,Example: Ridge tillage in system planting crops.
Seed agriculture,Reproduction of plants through annual introduction of seeds,Reproduction Of,Example: Seed agriculture in reproduction plants annual.
Seed drill,"created by Jethro Tull, it allowed farmers to sow seeds in well-spaced rows at specific depths; this boosted crop yields",Created By,Example: Seed drill in created jethro tull.
Shifting agriculture (Swidden agriculture),An agricultural method in which land is cleared and used for a few years until the soil is depleted of nutrients.,An Agricultural,Example: Shifting agriculture (Swidden agriculture) in agricultural method land.
Slash-and-burn agriculture,"Another name for shifting cultivation, so named because fields are cleared by slashing the vegetation and burning the debris.",Another Name,Example: Slash-and-burn agriculture in another name shifting.
Specialization,the concentration of the productive efforts of individuals and firms on a limited number of activities,The Concentration,Example: Specialization in concentration productive efforts.
Spring wheat area,Wheat planted in the spring and harvested in the late summer.,Wheat Planted,Example: Spring wheat area in wheat planted spring.
Subsistence agriculture,Agriculture designed primarily to provide food for direct consumption by the farmer and the farmer's family,Agriculture Designed,Example: Subsistence agriculture in agriculture designed primarily.
